codigo_documento;sequencial;descricao;codigo_subelemento;descricao_subelemento;valor_atual;arquivo_origem;data_extracao
155848264152021NE000097;2;ATENDER DESPESA COM PAGAMENTO DE AUXÍLIOS DIVERSOS REFERENTES ÀS AÇÕES DE ENSINO, PESQUISA E EXTENSÃO AOS ESTUDANTES DO IFMS: AMPARADO PELO DECRETO Nº 7.234, DE 19 DE JULHO DE 2010, QUE DISPÕE SOBRE O PROGRAMA NACIONAL DE ASSISTÊNCIA ESTUDANTIL (PNAES), E PELA RESOLUÇÃO COSUP Nº 10, DE 3 DE ABRIL DE 2020, QUE APROVOU O REGULAMENTO DE CONCESSÃO DE AUXÍLIO EMERGENCIAL PARA ACESSO DIGITAL, ESTE AUXÍLIO TEM COMO FINALIDADE ESTENDER A PROTEÇÃO SOCIAL AOS ESTUDANTES EM SITUAÇÃO DE VULNERABILIDADE QUE NÃO POSSUEM MEIOS DE ACESSO À INTERNET PARA ACOMPANHAMENTO DAS ATIVIDADES CURRICULARES NÃO PRESENCIAIS OU QUE, POR ALGUMA QU;01;BOLSAS DE ESTUDO NO PAIS;50,00;itens_DR_155848264152021NE000097.json;2026-03-24 15:27:25
155848264152021NE000097;4;ATENDER DESPESA COM PAGAMENTO DE AUXÍLIOS DIVERSOS REFERENTES ÀS AÇÕES DE ENSINO, PESQUISA E EXTENSÃO AOS ESTUDANTES DO IFMS: AMPARADO PELO DECRETO Nº 7.234, DE 19 DE JULHO DE 2010, QUE DISPÕE SOBRE O PROGRAMA NACIONAL DE ASSISTÊNCIA ESTUDANTIL (PNAES), E PELA RESOLUÇÃO COSUP Nº 10, DE 3 DE ABRIL DE 2020, QUE APROVOU O REGULAMENTO DE CONCESSÃO DE AUXÍLIO EMERGENCIAL PARA ACESSO DIGITAL, ESTE AUXÍLIO TEM COMO FINALIDADE ESTENDER A PROTEÇÃO SOCIAL AOS ESTUDANTES EM SITUAÇÃO DE VULNERABILIDADE QUE NÃO POSSUEM MEIOS DE ACESSO À INTERNET PARA ACOMPANHAMENTO DAS ATIVIDADES CURRICULARES NÃO PRESENCIAIS OU QUE, POR ALGUMA QU;01;BOLSAS DE ESTUDO NO PAIS;50,00;itens_DR_155848264152021NE000097.json;2026-03-24 15:27:25
155848264152021NE000097;1;ATENDER DESPESA COM PAGAMENTO DE AUXÍLIOS DIVERSOS REFERENTES ÀS AÇÕES DE ENSINO, PESQUISA E EXTENSÃO AOS ESTUDANTES DO IFMS: AMPARADO PELO DECRETO Nº 7.234, DE 19 DE JULHO DE 2010, QUE DISPÕE SOBRE O PROGRAMA NACIONAL DE ASSISTÊNCIA ESTUDANTIL (PNAES), E PELA RESOLUÇÃO COSUP Nº 10, DE 3 DE ABRIL DE 2020, QUE APROVOU O REGULAMENTO DE CONCESSÃO DE AUXÍLIO EMERGENCIAL PARA ACESSO DIGITAL, ESTE AUXÍLIO TEM COMO FINALIDADE ESTENDER A PROTEÇÃO SOCIAL AOS ESTUDANTES EM SITUAÇÃO DE VULNERABILIDADE QUE NÃO POSSUEM MEIOS DE ACESSO À INTERNET PARA ACOMPANHAMENTO DAS ATIVIDADES CURRICULARES NÃO PRESENCIAIS OU QUE, POR ALGUMA QU;01;BOLSAS DE ESTUDO NO PAIS;50,00;itens_DR_155848264152021NE000097.json;2026-03-24 15:27:25
155848264152021NE000099;3;Item compra: 00008 - AR CONDICIONADO - MANUTENÇÃO DE APARELHOS DE PAREDE;17;MANUT. E CONSERV. DE MAQUINAS E EQUIPAMENTOS;460,00;itens_DR_155848264152021NE000099.json;2026-03-24 15:24:36
155848264152021NE000099;2;Item compra: 00007 - AR CONDICIONADO - MANUTENÇÃO DE SISTEMAS / LIMPEZA;17;MANUT. E CONSERV. DE MAQUINAS E EQUIPAMENTOS;2.400,00;itens_DR_155848264152021NE000099.json;2026-03-24 15:24:36
155848264152021NE000099;1;Item compra: 00004 - AR CONDICIONADO - MANUTENÇÃO DE SISTEMAS / LIMPEZA;17;MANUT. E CONSERV. DE MAQUINAS E EQUIPAMENTOS;260,00;itens_DR_155848264152021NE000099.json;2026-03-24 15:24:36
155848264152021NE000099;6;Item compra: 00012 - AR CONDICIONADO - INSTALAÇÃO E MONTAGEM (PAREDE , SISTEMAS);17;MANUT. E CONSERV. DE MAQUINAS E EQUIPAMENTOS;950,00;itens_DR_155848264152021NE000099.json;2026-03-24 15:24:36
155848264152021NE000099;5;Item compra: 00011 - AR CONDICIONADO - MANUTENÇÃO DE APARELHOS DE PAREDE;17;MANUT. E CONSERV. DE MAQUINAS E EQUIPAMENTOS;1.200,00;itens_DR_155848264152021NE000099.json;2026-03-24 15:24:36
155848264152021NE000099;4;Item compra: 00010 - AR CONDICIONADO - MANUTENÇÃO DE SISTEMAS / LIMPEZA;17;MANUT. E CONSERV. DE MAQUINAS E EQUIPAMENTOS;3.780,00;itens_DR_155848264152021NE000099.json;2026-03-24 15:24:36
155848264152021NE000102;1;Item compra: 00001 - LEGUME IN NATURA*, CARACTERÍSTICAS ADICIONAIS EXTRA, 1º QUALIDADE, TIPO INHAME, ESPÉCIE COMUM;05;MERCADORIAS PARA DOACAO;10.735,00;itens_DR_155848264152021NE000102.json;2026-03-24 15:20:32
155848264152022NE000001;1;Item compra: 00001 - FORNECIMENTO DE ÁGUA E COLETA DE ESGOTO SANITÁRIO;44;SERVICOS DE AGUA E ESGOTO;40.000,00;itens_DR_155848264152022NE000001.json;2026-03-24 15:41:59
155848264152022NE000002;1;Item compra: 00001 - Fornecimento de energia elétrica;43;SERVICOS DE ENERGIA ELETRICA;144.597,42;itens_DR_155848264152022NE000002.json;2026-03-24 15:56:47
155848264152022NE000003;1;Item compra: 00001 - Fornecimento de energia elétrica;22;CONTRIBUICAO P/ CUSTEIO DE ILUMINACAO PUBLICA;949,43;itens_DR_155848264152022NE000003.json;2026-03-24 16:00:58
155848264152022NE000004;1;Item compra: 00009 - PRESTAÇÃO DE SERVIÇO DE VIGILÂNCIA E SEGURANÇA - ORGÂNICA - 12 HORAS DIURNAS - 2ª A DOMINGO;03;VIGILANCIA OSTENSIVA;9.514,97;itens_DR_155848264152022NE000004.json;2026-03-24 15:51:55
155848264152022NE000004;2;Item compra: 00010 - PRESTAÇÃO DE SERVIÇO DE VIGILÂNCIA E SEGURANÇA - ORGÂNICA   12H NOTURNAS - 2ª A DOMINGO;03;VIGILANCIA OSTENSIVA;10.359,47;itens_DR_155848264152022NE000004.json;2026-03-24 15:51:55
155848264152022NE000005;3;Item compra: 00025 - PRESTAÇÃO DE SERVIÇO DE LIMPEZA E CONSERVAÇÃO - OUTRAS      NECESSIDADES;78;LIMPEZA E CONSERVACAO;173.814,12;itens_DR_155848264152022NE000005.json;2026-03-24 16:00:15
155848264152022NE000005;1;Item compra: 00026 - PRESTAÇÃO DE SERVIÇO DE LIMPEZA E CONSERVAÇÃO - OUTRAS      NECESSIDADES;78;LIMPEZA E CONSERVACAO;74.940,19;itens_DR_155848264152022NE000005.json;2026-03-24 16:00:15
155848264152022NE000005;2;Item compra: 00027 - PRESTAÇÃO DE SERVIÇO DE LIMPEZA E CONSERVAÇÃO - OUTRAS      NECESSIDADES;78;LIMPEZA E CONSERVACAO;51.999,12;itens_DR_155848264152022NE000005.json;2026-03-24 16:00:15
155848264152022NE000006;1;Item compra: 00029 - PRESTAÇÃO DE SERVIÇO DE JARDINAGEM - OUTROS SERVIÇOS - OUTRAPRODUTIVIDADE;01;APOIO ADMINISTRATIVO, TECNICO E OPERACIONAL;54.081,87;itens_DR_155848264152022NE000006.json;2026-03-24 16:00:28
155848264152022NE000006;2;Item compra: 00030 - MANUTENÇÃO / REFORMA PREDIAL;04;MANUTENCAO E CONSERVACAO DE BENS IMOVEIS;61.570,99;itens_DR_155848264152022NE000006.json;2026-03-24 16:00:28
155848264152022NE000007;1;Item compra: 00099 - SERVIÇO DE LINK VIA CABO;14;TELEFONIA FIXA E MOVEL - PACOTE DE COMUNICACAO DE DADOS;13.448,60;itens_DR_155848264152022NE000007.json;2026-03-24 16:01:02
155848264152022NE000008;1;Atender despesas com diárias de pessoal civil no país destinando-se a indenizar os servidores do Campus Dourados que se deslocarem de sua sede em objeto de serviço, em caráter eventual ou transitório durante o exercício financeiro de 2022.;14;DIARIAS NO PAIS;20.963,44;itens_DR_155848264152022NE000008.json;2026-03-24 15:38:58
155848264152022NE000009;1;Item compra: 00001 - COLETA , TRATAMENTO LIXO - HOSPITALAR;78;LIMPEZA E CONSERVACAO;1.769,60;itens_DR_155848264152022NE000009.json;2026-03-24 16:01:07
155848264152022NE000010;1;Ressarcimento de despesa com abastecimento de combustível em veículo oficial.;02;RESTITUICOES;500,00;itens_DR_155848264152022NE000010.json;2026-03-24 15:54:38
155848264152022NE000011;2;"Objeto: Este Edital dispõe sobre o processo seletivo de projetos de pesquisa e a indicação de estudantes para participação no Programa Institucional de Iniciação Científica e Tecnológica do Instituto Federal de Educação, Ciência e Tecnologia de Mato Grosso do Sul (IFMS) e em Programas Institucionais de Bolsas do Conselho Nacional de Desenvolvimento Científico e Tecnológico, de setembro de 2021 a agosto de 2022. Objetivos: fomentar a pesquisa científica e o desenvolvimento tecnológico no IFMS; possibilitar que estudantes dos cursos técnicos de nível médio e superior do IFMS desenvolvam competências e habilidades em at";01;BOLSAS DE ESTUDO NO PAIS;400,00;itens_DR_155848264152022NE000011.json;2026-03-24 15:36:40
155848264152022NE000011;5;"Objeto: Este Edital dispõe sobre o processo seletivo de projetos de pesquisa e a indicação de estudantes para participação no Programa Institucional de Iniciação Científica e Tecnológica do Instituto Federal de Educação, Ciência e Tecnologia de Mato Grosso do Sul (IFMS) e em Programas Institucionais de Bolsas do Conselho Nacional de Desenvolvimento Científico e Tecnológico, de setembro de 2021 a agosto de 2022. Objetivos: fomentar a pesquisa científica e o desenvolvimento tecnológico no IFMS; possibilitar que estudantes dos cursos técnicos de nível médio e superior do IFMS desenvolvam competências e habilidades em at";01;BOLSAS DE ESTUDO NO PAIS;400,00;itens_DR_155848264152022NE000011.json;2026-03-24 15:36:40
155848264152022NE000011;9;"Objeto: Este Edital dispõe sobre o processo seletivo de projetos de pesquisa e a indicação de estudantes para participação no Programa Institucional de Iniciação Científica e Tecnológica do Instituto Federal de Educação, Ciência e Tecnologia de Mato Grosso do Sul (IFMS) e em Programas Institucionais de Bolsas do Conselho Nacional de Desenvolvimento Científico e Tecnológico, de setembro de 2021 a agosto de 2022. Objetivos: fomentar a pesquisa científica e o desenvolvimento tecnológico no IFMS; possibilitar que estudantes dos cursos técnicos de nível médio e superior do IFMS desenvolvam competências e habilidades em at";01;BOLSAS DE ESTUDO NO PAIS;400,00;itens_DR_155848264152022NE000011.json;2026-03-24 15:36:40
155848264152022NE000011;8;"Objeto: Este Edital dispõe sobre o processo seletivo de projetos de pesquisa e a indicação de estudantes para participação no Programa Institucional de Iniciação Científica e Tecnológica do Instituto Federal de Educação, Ciência e Tecnologia de Mato Grosso do Sul (IFMS) e em Programas Institucionais de Bolsas do Conselho Nacional de Desenvolvimento Científico e Tecnológico, de setembro de 2021 a agosto de 2022. Objetivos: fomentar a pesquisa científica e o desenvolvimento tecnológico no IFMS; possibilitar que estudantes dos cursos técnicos de nível médio e superior do IFMS desenvolvam competências e habilidades em at";01;BOLSAS DE ESTUDO NO PAIS;400,00;itens_DR_155848264152022NE000011.json;2026-03-24 15:36:40
155848264152022NE000011;3;"Objeto: Este Edital dispõe sobre o processo seletivo de projetos de pesquisa e a indicação de estudantes para participação no Programa Institucional de Iniciação Científica e Tecnológica do Instituto Federal de Educação, Ciência e Tecnologia de Mato Grosso do Sul (IFMS) e em Programas Institucionais de Bolsas do Conselho Nacional de Desenvolvimento Científico e Tecnológico, de setembro de 2021 a agosto de 2022. Objetivos: fomentar a pesquisa científica e o desenvolvimento tecnológico no IFMS; possibilitar que estudantes dos cursos técnicos de nível médio e superior do IFMS desenvolvam competências e habilidades em at";01;BOLSAS DE ESTUDO NO PAIS;400,00;itens_DR_155848264152022NE000011.json;2026-03-24 15:36:40
155848264152022NE000011;1;"Objeto: Este Edital dispõe sobre o processo seletivo de projetos de pesquisa e a indicação de estudantes para participação no Programa Institucional de Iniciação Científica e Tecnológica do Instituto Federal de Educação, Ciência e Tecnologia de Mato Grosso do Sul (IFMS) e em Programas Institucionais de Bolsas do Conselho Nacional de Desenvolvimento Científico e Tecnológico, de setembro de 2021 a agosto de 2022. Objetivos: fomentar a pesquisa científica e o desenvolvimento tecnológico no IFMS; possibilitar que estudantes dos cursos técnicos de nível médio e superior do IFMS desenvolvam competências e habilidades em at";01;BOLSAS DE ESTUDO NO PAIS;400,00;itens_DR_155848264152022NE000011.json;2026-03-24 15:36:40
155848264152022NE000011;7;"Objeto: Este Edital dispõe sobre o processo seletivo de projetos de pesquisa e a indicação de estudantes para participação no Programa Institucional de Iniciação Científica e Tecnológica do Instituto Federal de Educação, Ciência e Tecnologia de Mato Grosso do Sul (IFMS) e em Programas Institucionais de Bolsas do Conselho Nacional de Desenvolvimento Científico e Tecnológico, de setembro de 2021 a agosto de 2022. Objetivos: fomentar a pesquisa científica e o desenvolvimento tecnológico no IFMS; possibilitar que estudantes dos cursos técnicos de nível médio e superior do IFMS desenvolvam competências e habilidades em at";01;BOLSAS DE ESTUDO NO PAIS;400,00;itens_DR_155848264152022NE000011.json;2026-03-24 15:36:40
155848264152022NE000011;6;"Objeto: Este Edital dispõe sobre o processo seletivo de projetos de pesquisa e a indicação de estudantes para participação no Programa Institucional de Iniciação Científica e Tecnológica do Instituto Federal de Educação, Ciência e Tecnologia de Mato Grosso do Sul (IFMS) e em Programas Institucionais de Bolsas do Conselho Nacional de Desenvolvimento Científico e Tecnológico, de setembro de 2021 a agosto de 2022. Objetivos: fomentar a pesquisa científica e o desenvolvimento tecnológico no IFMS; possibilitar que estudantes dos cursos técnicos de nível médio e superior do IFMS desenvolvam competências e habilidades em at";01;BOLSAS DE ESTUDO NO PAIS;400,00;itens_DR_155848264152022NE000011.json;2026-03-24 15:36:40
155848264152022NE000011;4;"Objeto: Este Edital dispõe sobre o processo seletivo de projetos de pesquisa e a indicação de estudantes para participação no Programa Institucional de Iniciação Científica e Tecnológica do Instituto Federal de Educação, Ciência e Tecnologia de Mato Grosso do Sul (IFMS) e em Programas Institucionais de Bolsas do Conselho Nacional de Desenvolvimento Científico e Tecnológico, de setembro de 2021 a agosto de 2022. Objetivos: fomentar a pesquisa científica e o desenvolvimento tecnológico no IFMS; possibilitar que estudantes dos cursos técnicos de nível médio e superior do IFMS desenvolvam competências e habilidades em at";01;BOLSAS DE ESTUDO NO PAIS;400,00;itens_DR_155848264152022NE000011.json;2026-03-24 15:36:40
155848264152022NE000012;1;Reconhecimento de Despesas de Exercícios Anteriores com Diárias de Pessoal Civil. PCDP nº 000220/21. Servidora: Nátalli Macedo Rodrigues Falleiros. Período da Viagem: 08/12/2021 a 09/12/2021. Motivo da Viagem: Participar da Semana de Planejamento 2021 - 2ª etapa.;14;DIARIAS - CIVIL;317,91;itens_DR_155848264152022NE000012.json;2026-03-24 15:52:03
155848264152022NE000013;2;Item compra: 00003 - MANUTENÇÃO DE VEÍCULOS LEVES - PARTE MECÂNICA;19;MANUTENCAO E CONSERV. DE VEICULOS;1.756,75;itens_DR_155848264152022NE000013.json;2026-03-24 15:54:42
155848264152022NE000013;1;Item compra: 00001 - MANUTENÇÃO DE VEÍCULOS LEVES - PARTE MECÂNICA;19;MANUTENCAO E CONSERV. DE VEICULOS;11.068,75;itens_DR_155848264152022NE000013.json;2026-03-24 15:54:42
155848264152022NE000014;2;Objeto e Objetivos: Trata-se de edital interno para apresentação e seleção de propostas de projetos de extensão, com vistas à concessão de bolsas de extensão aos (às) estudantes, por meio do Programa de Bolsas e Auxílios para Ações de Extensão do IFMS (PIBAEX), e auxílio financeiro, via Programa Institucional de Incentivo ao Ensino, Extensão, Pesquisa e Inovação do IFMS (PIEPI). Campus Dourados. Projeto: MiDi EcoSol: Mídias Digitais para Economia Solidária. Estudante contemplada: Maria Eduarda Santos de Alba.Competência: Janeiro/2022 e Fevereiro/2022.;01;BOLSAS DE ESTUDO NO PAIS;400,00;itens_DR_155848264152022NE000014.json;2026-03-24 15:39:07
155848264152022NE000014;3;Objeto e Objetivos: Trata-se de edital interno para apresentação e seleção de propostas de projetos de extensão, com vistas à concessão de bolsas de extensão aos (às) estudantes, por meio do Programa de Bolsas e Auxílios para Ações de Extensão do IFMS (PIBAEX), e auxílio financeiro, via Programa Institucional de Incentivo ao Ensino, Extensão, Pesquisa e Inovação do IFMS (PIEPI). Campus Dourados. Projeto: MiDi EcoSol: Mídias Digitais para Economia Solidária. Estudante contemplado: Rafael Correa Viana. Competência: Janeiro/2022 e Fevereiro/2022.;01;BOLSAS DE ESTUDO NO PAIS;400,00;itens_DR_155848264152022NE000014.json;2026-03-24 15:39:07
155848264152022NE000014;1;Objeto e Objetivos: Trata-se de edital interno para apresentação e seleção de propostas de projetos de extensão, com vistas à concessão de bolsas de extensão aos (às) estudantes, por meio do Programa de Bolsas e Auxílios para Ações de Extensão do IFMS (PIBAEX), e auxílio financeiro, via Programa Institucional de Incentivo ao Ensino, Extensão, Pesquisa e Inovação do IFMS (PIEPI). Campus Dourados. Projeto: MiDi EcoSol: Mídias Digitais para Economia Solidária. Estudante contemplada: Giovanna Dias Carvalho de Almeida.Competência: Janeiro/2022 e Fevereiro/2022.;01;BOLSAS DE ESTUDO NO PAIS;400,00;itens_DR_155848264152022NE000014.json;2026-03-24 15:39:07
155848264152022NE000015;1;Item compra: 00028 - PRESTAÇÃO DE SERVIÇOS DE COPEIRAGEM;05;SERVICOS DE COPA E COZINHA;36.634,89;itens_DR_155848264152022NE000015.json;2026-03-24 16:01:24
155848264152022NE000016;1;"Taxa de Anotação de Responsabilidade Técnica. Fundamento Legal: Lei nº 6.496, de 07 de dezembro de 1977, que Institui a Anotação de Responsabilidade Técnica na prestação de serviços de engenharia, de arquitetura e agronomia; autoriza a criação, pelo Conselho Federal de Engenharia, Arquitetura e Agronomia - CONFEA, de uma Mútua de Assistência Profissional; e dá outras providências; Resolução nº 1067-15 25/09/2015. Fixa os critérios para cobrança de registro da Anotação de Responsabilidade Técnica ¿ ART e dá outras providências.";10;TAXAS;88,78;itens_DR_155848264152022NE000016.json;2026-03-24 15:55:23
155848264152022NE000017;1;Pagamento de Gratificação por Encargo de Curso e Concurso - GECC,  a servidora do quadro permanente do Instituto Federal do Paraná Maria Gorete Terluk pela participação no processo de avaliação para concessão do Reconhecimento de Saberes e Competências - Nível RSC II - a servidora do IFMS Campus Dourados Elisa de Almeida Souza na condição de avaliador externo.;28;GRATIFICACAO POR ENCARGO DE CURSO E CONCURSO - GECC;214,33;itens_DR_155848264152022NE000017.json;2026-03-24 15:47:13
155848264152022NE000018;1;1. Objetivo Geral. 1.1 O presente Edital tem como objetivos contribuir para a formação da consciência em relação às causas ambientais, apoiar a realização de ações que divulguem o conhecimento produzido na instituição e que permitam o diálogo entre esta e a sociedade. 1.2 Incentivar a circulação de informações sobre a preservação dos recursos naturais. 1.3 Promover atividades que auxiliem no aprendizado como meio de promoção do desenvolvimento social, além de despertar o interesse da comunidade externa para as ações desenvolvidas no IFMS. 1.4 O tema da Semana do Meio Ambiente de 2022 do IFMS, segue o que é instituído;01;AUXILIO A PESSOAS FISICAS;1.925,47;itens_DR_155848264152022NE000018.json;2026-03-24 15:39:34
155848264152022NE000019;9;1 OBJETO. 1.1 Este Edital dispõe sobre a seleção de estudantes dos cursos presenciais técnicos integrados de nível médio, cursos técnicos subsequentes, cursos do Programa Nacional de Integração da Educação Profissional com Educação Básica na Modalidade de Educação de Jovens e Adultos (Proeja) e cursos superiores do Instituto Federal de Educação, Ciência e Tecnologia de Mato Grosso do Sul (IFMS) para concessão de Auxílios do Programa de Assistência Estudantil. 1.2 Amparado pelo Decreto nº 7.234, de 19 de julho de 2010, que dispõe sobre o Programa Nacional de Assistência Estudantil (Pnaes), bem como pela Resolução do C;01;BOLSAS DE ESTUDO NO PAIS;800,00;itens_DR_155848264152022NE000019.json;2026-03-24 15:37:43
155848264152022NE000019;3;1 OBJETO. 1.1 Este Edital dispõe sobre a seleção de estudantes dos cursos presenciais técnicos integrados de nível médio, cursos técnicos subsequentes, cursos do Programa Nacional de Integração da Educação Profissional com Educação Básica na Modalidade de Educação de Jovens e Adultos (Proeja) e cursos superiores do Instituto Federal de Educação, Ciência e Tecnologia de Mato Grosso do Sul (IFMS) para concessão de Auxílios do Programa de Assistência Estudantil. 1.2 Amparado pelo Decreto nº 7.234, de 19 de julho de 2010, que dispõe sobre o Programa Nacional de Assistência Estudantil (Pnaes), bem como pela Resolução do C;01;BOLSAS DE ESTUDO NO PAIS;600,00;itens_DR_155848264152022NE000019.json;2026-03-24 15:37:43
155848264152022NE000019;8;1 OBJETO. 1.1 Este Edital dispõe sobre a seleção de estudantes dos cursos presenciais técnicos integrados de nível médio, cursos técnicos subsequentes, cursos do Programa Nacional de Integração da Educação Profissional com Educação Básica na Modalidade de Educação de Jovens e Adultos (Proeja) e cursos superiores do Instituto Federal de Educação, Ciência e Tecnologia de Mato Grosso do Sul (IFMS) para concessão de Auxílios do Programa de Assistência Estudantil. 1.2 Amparado pelo Decreto nº 7.234, de 19 de julho de 2010, que dispõe sobre o Programa Nacional de Assistência Estudantil (Pnaes), bem como pela Resolução do C;01;BOLSAS DE ESTUDO NO PAIS;800,00;itens_DR_155848264152022NE000019.json;2026-03-24 15:37:43
155848264152022NE000019;10;1 OBJETO. 1.1 Este Edital dispõe sobre a seleção de estudantes dos cursos presenciais técnicos integrados de nível médio, cursos técnicos subsequentes, cursos do Programa Nacional de Integração da Educação Profissional com Educação Básica na Modalidade de Educação de Jovens e Adultos (Proeja) e cursos superiores do Instituto Federal de Educação, Ciência e Tecnologia de Mato Grosso do Sul (IFMS) para concessão de Auxílios do Programa de Assistência Estudantil. 1.2 Amparado pelo Decreto nº 7.234, de 19 de julho de 2010, que dispõe sobre o Programa Nacional de Assistência Estudantil (Pnaes), bem como pela Resolução do C;01;BOLSAS DE ESTUDO NO PAIS;800,00;itens_DR_155848264152022NE000019.json;2026-03-24 15:37:43
155848264152022NE000019;2;1 OBJETO. 1.1 Este Edital dispõe sobre a seleção de estudantes dos cursos presenciais técnicos integrados de nível médio, cursos técnicos subsequentes, cursos do Programa Nacional de Integração da Educação Profissional com Educação Básica na Modalidade de Educação de Jovens e Adultos (Proeja) e cursos superiores do Instituto Federal de Educação, Ciência e Tecnologia de Mato Grosso do Sul (IFMS) para concessão de Auxílios do Programa de Assistência Estudantil. 1.2 Amparado pelo Decreto nº 7.234, de 19 de julho de 2010, que dispõe sobre o Programa Nacional de Assistência Estudantil (Pnaes), bem como pela Resolução do C;01;BOLSAS DE ESTUDO NO PAIS;600,00;itens_DR_155848264152022NE000019.json;2026-03-24 15:37:43
155848264152022NE000019;5;1 OBJETO. 1.1 Este Edital dispõe sobre a seleção de estudantes dos cursos presenciais técnicos integrados de nível médio, cursos técnicos subsequentes, cursos do Programa Nacional de Integração da Educação Profissional com Educação Básica na Modalidade de Educação de Jovens e Adultos (Proeja) e cursos superiores do Instituto Federal de Educação, Ciência e Tecnologia de Mato Grosso do Sul (IFMS) para concessão de Auxílios do Programa de Assistência Estudantil. 1.2 Amparado pelo Decreto nº 7.234, de 19 de julho de 2010, que dispõe sobre o Programa Nacional de Assistência Estudantil (Pnaes), bem como pela Resolução do C;01;BOLSAS DE ESTUDO NO PAIS;600,00;itens_DR_155848264152022NE000019.json;2026-03-24 15:37:43
155848264152022NE000019;4;1 OBJETO. 1.1 Este Edital dispõe sobre a seleção de estudantes dos cursos presenciais técnicos integrados de nível médio, cursos técnicos subsequentes, cursos do Programa Nacional de Integração da Educação Profissional com Educação Básica na Modalidade de Educação de Jovens e Adultos (Proeja) e cursos superiores do Instituto Federal de Educação, Ciência e Tecnologia de Mato Grosso do Sul (IFMS) para concessão de Auxílios do Programa de Assistência Estudantil. 1.2 Amparado pelo Decreto nº 7.234, de 19 de julho de 2010, que dispõe sobre o Programa Nacional de Assistência Estudantil (Pnaes), bem como pela Resolução do C;01;BOLSAS DE ESTUDO NO PAIS;600,00;itens_DR_155848264152022NE000019.json;2026-03-24 15:37:43
155848264152022NE000019;7;1 OBJETO. 1.1 Este Edital dispõe sobre a seleção de estudantes dos cursos presenciais técnicos integrados de nível médio, cursos técnicos subsequentes, cursos do Programa Nacional de Integração da Educação Profissional com Educação Básica na Modalidade de Educação de Jovens e Adultos (Proeja) e cursos superiores do Instituto Federal de Educação, Ciência e Tecnologia de Mato Grosso do Sul (IFMS) para concessão de Auxílios do Programa de Assistência Estudantil. 1.2 Amparado pelo Decreto nº 7.234, de 19 de julho de 2010, que dispõe sobre o Programa Nacional de Assistência Estudantil (Pnaes), bem como pela Resolução do C;01;BOLSAS DE ESTUDO NO PAIS;800,00;itens_DR_155848264152022NE000019.json;2026-03-24 15:37:43
155848264152022NE000019;1;1 OBJETO. 1.1 Este Edital dispõe sobre a seleção de estudantes dos cursos presenciais técnicos integrados de nível médio, cursos técnicos subsequentes, cursos do Programa Nacional de Integração da Educação Profissional com Educação Básica na Modalidade de Educação de Jovens e Adultos (Proeja) e cursos superiores do Instituto Federal de Educação, Ciência e Tecnologia de Mato Grosso do Sul (IFMS) para concessão de Auxílios do Programa de Assistência Estudantil. 1.2 Amparado pelo Decreto nº 7.234, de 19 de julho de 2010, que dispõe sobre o Programa Nacional de Assistência Estudantil (Pnaes), bem como pela Resolução do C;01;BOLSAS DE ESTUDO NO PAIS;600,00;itens_DR_155848264152022NE000019.json;2026-03-24 15:37:43
155848264152022NE000019;6;1 OBJETO. 1.1 Este Edital dispõe sobre a seleção de estudantes dos cursos presenciais técnicos integrados de nível médio, cursos técnicos subsequentes, cursos do Programa Nacional de Integração da Educação Profissional com Educação Básica na Modalidade de Educação de Jovens e Adultos (Proeja) e cursos superiores do Instituto Federal de Educação, Ciência e Tecnologia de Mato Grosso do Sul (IFMS) para concessão de Auxílios do Programa de Assistência Estudantil. 1.2 Amparado pelo Decreto nº 7.234, de 19 de julho de 2010, que dispõe sobre o Programa Nacional de Assistência Estudantil (Pnaes), bem como pela Resolução do C;01;BOLSAS DE ESTUDO NO PAIS;800,00;itens_DR_155848264152022NE000019.json;2026-03-24 15:37:43
155848264152022NE000020;10;1 OBJETO. 1.1 Este Edital dispõe sobre a seleção de estudantes dos cursos presenciais técnicos integrados de nível médio, cursos técnicos subsequentes, cursos do Programa Nacional de Integração da Educação Profissional com Educação Básica na Modalidade de Educação de Jovens e Adultos (Proeja) e cursos superiores do Instituto Federal de Educação, Ciência e Tecnologia de Mato Grosso do Sul (IFMS) para concessão de Auxílios do Programa de Assistência Estudantil. 1.2 Amparado pelo Decreto nº 7.234, de 19 de julho de 2010, que dispõe sobre o Programa Nacional de Assistência Estudantil (Pnaes), bem como pela Resolução do C;01;BOLSAS DE ESTUDO NO PAIS;600,00;itens_DR_155848264152022NE000020.json;2026-03-24 15:52:08
155848264152022NE000020;1;1 OBJETO. 1.1 Este Edital dispõe sobre a seleção de estudantes dos cursos presenciais técnicos integrados de nível médio, cursos técnicos subsequentes, cursos do Programa Nacional de Integração da Educação Profissional com Educação Básica na Modalidade de Educação de Jovens e Adultos (Proeja) e cursos superiores do Instituto Federal de Educação, Ciência e Tecnologia de Mato Grosso do Sul (IFMS) para concessão de Auxílios do Programa de Assistência Estudantil. 1.2 Amparado pelo Decreto nº 7.234, de 19 de julho de 2010, que dispõe sobre o Programa Nacional de Assistência Estudantil (Pnaes), bem como pela Resolução do C;01;BOLSAS DE ESTUDO NO PAIS;400,00;itens_DR_155848264152022NE000020.json;2026-03-24 15:52:08
